Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id
249130000,7000,310249,Pudahuel,VuelodeCodornizNorte,4,3.0,137.0,225.0,1.0,6355152
360000000,10115,448319,LaCisterna,Esmeralda&AvenidaFernandezAlbano,4,3.0,270.0,480.0,4.0,7064113
160000000,4496,199253,LaCisterna,brisas000,3,1.0,150.0,331.0,4.0,7063582
266925000,7500,332410,Pudahuel,AvenidaPedrodeAretxabala,4,3.0,129.0,228.0,2.0,6945383
1299035000,36500,1617727,LoBarnechea,ContralmiranteFernándezVial/ElTranque,6,5.0,344.0,702.0,5.0,12341490
85000000,2388,105853,Colina,LasAraucarias,2,1.0,52.0,91.0,,12341157
366577000,10300,456509,Colina,Santaelenalosnogalesii,3,3.0,135.0,135.0,2.0,12341129
444875000,12500,554016,Colina,Colina,6,4.0,170.0,610.0,3.0,12339449
87000000,2445,108344,PadreHurtado,valledelaconcagua,3,1.0,65.0,90.0,2.0,12337901
462670000,13000,576177,Maipú,libertad377,5,6.0,217.0,596.0,5.0,12337835
88000000,2473,109589,PuenteAlto,eyzaguirre,4,2.0,80.0,100.0,1.0,12337819
160155000,4500,199446,PadreHurtado,rodolfojaramillo2718,3,3.0,84.0,169.0,2.0,12337777
77000000,2164,95890,Maipú,Olimpo,3,2.0,55.0,93.0,4.0,12337693
165493500,4650,206094,Maipú,elhelechosur18535,3,1.0,89.0,200.0,3.0,12337577
270484000,7600,336842,Maipú,alcaldejoseluisinfantelarrain,3,3.0,155.0,233.0,4.0,12337535
125000000,3512,155666,Pudahuel,ElRaulí8575,3,2.0,90.0,98.0,1.0,12336409
150189800,4220,187036,PuenteAlto,Alcántara,4,3.0,90.0,200.0,2.0,7741272
473347000,13300,589473,LasCondes,Puntadeleste//LasCondes,4,2.0,110.0,258.0,2.0,12335775
199837850,5615,248864,PuenteAlto,CiudaddelEste,5,3.0,178.0,264.0,1.0,12335701
155000000,4355,193026,Ñuñoa,MAP-Sevendecasaesquinaparaproyectoocomercioenñuñoa,3,1.0,40.0,198.0,2.0,12335402
126807170,3563,157917,PuenteAlto,Map-SevendeBellaCasa4H,4,3.0,80.0,105.0,3.0,12335381
266925000,7500,332410,Huechuraba,MAP-SeVendeHermosaCasa3D,3,3.0,107.0,180.0,2.0,12335308
220000000,6182,273973,Conchalí,MAP-SevendeHermosayampliacasa5H,5,2.0,182.0,250.0,4.0,12335276
151257500,4250,188366,LaFlorida,Sevendeterrenourbanizadode450m2,6,3.0,450.0,450.0,,12334556
80077500,2250,99723,PuenteAlto,SanHugo/NemesioVicuña,3,1.0,62.0,74.0,,12334482
201083500,5650,250415,PuenteAlto,av.canaldelaluz3640,3,3.0,99.0,300.0,3.0,12333894
496480500,13950,618282,LaFlorida,Venezuela,7,4.0,206.0,1000.0,6.0,12333790
286499500,8050,356786,Santiago,Antupiren,4,2.0,119.0,182.0,2.0,12332975
78120050,2195,97285,LoEspejo,Av.PadreAlbertoHurtado7404,3,1.0,74.0,160.0,4.0,10538738
130000000,3653,161893,Maipú,EduardoFreiCercanoAlfredoSilvaCarvallo,4,2.0,84.0,90.0,2.0,6529581
56000000,1573,69738,LaGranja,IslaHumos8654,3,1.0,53.0,63.0,,10633012
110329000,3100,137396,PuenteAlto,Lomasdelviento,3,1.0,56.0,90.0,1.0,12330886
1352064100,37990,1683766,LaReina,Plazachileperu,6,3.0,295.0,1150.0,,5351609
925340000,26000,1152354,Ñuñoa,Hernancortes//pedrodevaldivia,11,4.0,567.0,702.0,1269.0,9275128
115000000,3231,143213,Maipú,CalleEleodoroRodriguezMatte,3,2.0,62.0,100.0,1.0,12330013
150000000,4215,186800,LaFlorida,BosqueChileno2478,3,2.0,65.0,105.0,1.0,12329293
551645000,15500,686980,LasCondes,ManquehueSur/AlonsodeCamargo,4,3.0,200.0,500.0,3.0,12327338
284720000,8000,354570,LaReina,Paulajaraquemada,3,1.0,88.0,275.0,,12327234
745000000,20933,927771,LasCondes,LaForestaOriente/FranciscoBulnesCorrea,6,5.0,180.0,542.0,2.0,12327057
1031398200,28980,1284431,LoBarnechea,CaminoLosRefugios/CondominioLosQuillayes,7,5.0,300.0,5600.0,10.0,12326927
391490000,11000,487534,LasCondes,JumboBilbao,3,2.0,122.0,226.0,2.0,12326876
261586500,7350,325762,Providencia,ManuelMontt-EliodoroYañez,3,1.0,91.0,91.0,,12326791
319954100,8990,398448,LaReina,MetroPrincipedeGales,4,2.0,119.0,165.0,1.0,12325852
1204721500,33850,1500276,LoBarnechea,CerroPandeAzucar/ManquehueOriente,6,7.0,520.0,832.0,,12325737
632790200,17780,788033,Providencia,EliecerParadayhernandodeaguirre,4,3.0,281.0,500.0,4.0,12325630
444875000,12500,554016,Vitacura,ElAromo/LoBeltran,5,4.0,130.0,150.0,2.0,12324817
396828500,11150,494182,LasCondes,Parnell,3,3.0,113.0,253.0,2.0,12323696
65841500,1850,81994,Quilicura,Salesianos,2,1.0,80.0,56.0,1.0,9513451
1281240000,36000,1595567,Vitacura,FranciscodeAguirre/Espoz,5,5.0,330.0,560.0,4.0,12324634
398608000,11200,496399,LasCondes,LosDominicos/Torremolinos,3,2.0,75.0,229.0,3.0,12324534
202863000,5700,252631,QuintaNormal,JuanaQuinel01730,6,2.0,299.0,390.0,6.0,12323681
1263445000,35500,1573406,LasCondes,Cerrosanluis,4,4.0,168.0,233.0,3.0,12323629
82000000,2304,102117,PuenteAlto,PuenteAlto,4,2.0,48.0,123.0,2.0,12322314
109000000,3063,135741,CaleradeTango,CaleradeTango,4,2.0,90.0,140.0,1.0,12322145
160000000,4496,199253,Melipilla,Melipilla,3,3.0,140.0,160.0,2.0,12322134
125000000,3512,155666,Recoleta,Recoleta,4,2.0,100.0,245.0,6.0,12322129
118000000,3316,146949,Melipilla,Melipilla,6,3.0,120.0,140.0,1.0,12322127
65000000,1826,80946,Lampa,alcaldejosesolano,2,1.0,55.0,70.0,1.0,12319493
427044410,11999,531811,Talagante,Casa/Parcelaencondominio,3,3.0,181.0,5141.0,3.0,12319318
85416000,2400,106371,SanBernardo,Franciscoencinaponiente,5,2.0,98.0,107.0,1.0,12318063
156596000,4400,195014,LaFlorida,Callelasmagnoliaslaflorida,4,2.0,123.0,181.0,1.0,12318017
1530370000,43000,1905816,LoBarnechea,Clubdegolflomas,4,3.0,480.0,1499.0,4.0,12316783
263010100,7390,327534,LasCondes,Isabellacatolica,3,2.0,83.0,144.0,,12315951
